Market,Region,Release Date,Opening Day Sales ($USD),Gross Sales ($USD)
United States,North America,2/10/2017,"46,607,250","4,475,654"
Austria,"Europe, Middle East, and Africa",2/10/2017,"1,019,875","4,628,670"
Belgium,"Europe, Middle East, and Africa",2/8/2017,"1,295,138","619,814"
Bulgaria,"Europe, Middle East, and Africa",2/10/2017,"172,707","520,005"
Croatia,"Europe, Middle East, and Africa",2/9/2017,"162,397","222,750"
Cyprus,"Europe, Middle East, and Africa",2/9/2017,"75,208","2,145,782"
Czech Republic,"Europe, Middle East, and Africa",2/9/2017,"903,578","4,415,577"
Denmark,"Europe, Middle East, and Africa",2/9/2017,"1,341,920","53,322"
Egypt,"Europe, Middle East, and Africa",2/15/2017,"23,616","63,322"
Estonia,"Europe, Middle East, and Africa",2/10/2017,"124,117","445,120"
Finland,"Europe, Middle East, and Africa",2/10/2017,"472,587","1,610,887"
France,"Europe, Middle East, and Africa",2/8/2017,"8,272,719","24,886,551"
Germany,"Europe, Middle East, and Africa",2/9/2017,"8,529,213","32,709,880"
Greece,"Europe, Middle East, and Africa",2/9/2017,"622,757","1,683,324"
Hungary,"Europe, Middle East, and Africa",2/9/2017,"480,052","1,222,196"
Iceland,"Europe, Middle East, and Africa",2/10/2017,"48,159","143,594"
Israel,"Europe, Middle East, and Africa",2/9/2017,"804,738","2,489,791"
Italy,"Europe, Middle East, and Africa",2/9/2017,"6,830,852","15,793,926"
Latvia,"Europe, Middle East, and Africa",2/10/2017,"92,280","393,344"
Lebanon,"Europe, Middle East, and Africa",2/9/2017,"170,619","477,396"
Lithuania,"Europe, Middle East, and Africa",2/10/2017,"157,108","580,410"
Netherlands,"Europe, Middle East, and Africa",2/9/2017,"1,364,618","6,332,203"
Norway,"Europe, Middle East, and Africa",2/10/2017,"1,445,417","3,529,572"
Poland,"Europe, Middle East, and Africa",2/10/2017,"2,709,921","7,392,748"
Portugal,"Europe, Middle East, and Africa",2/9/2017,"715,490","2,489,044"
Romania,"Europe, Middle East, and Africa",2/10/2017,"693,489","1,656,543"
Serbia and Montenegro,"Europe, Middle East, and Africa",2/9/2017,na,"526,177"
Slovakia,"Europe, Middle East, and Africa",2/9/2017,"496,141","1,106,362"
Slovenia,"Europe, Middle East, and Africa",2/10/2017,"127,642","538,974"
South Africa,"Europe, Middle East, and Africa",2/10/2017,"760,315","2,465,598"
