Country,2015 Happiness Rank,2015 Happiness Score,2016 Happiness Rank,2016 Happiness Score,2015 Air Pollution Deaths Per 100k,2016 Air Pollution Deaths Per 100k,Latitude,Longitude
Switzerland,1,7.587000000000001,2,7.5089999999999995,12.92,11.98,46.818188,8.227511999999999
Iceland,2,7.561,3,7.501,10.74,9.92,64.963051,-19.020835
Denmark,3,7.527,1,7.526,19.89,19.32,56.26392,9.501785
Norway,4,7.522,4,7.497999999999999,11.47,10.86,60.47202399999999,8.468945999999999
Canada,5,7.4270000000000005,6,7.404,12.22,11.0,56.130366,-106.346771
Finland,6,7.406000000000001,5,7.412999999999999,8.69,8.4,61.92410999999999,25.7481511
Netherlands,7,7.377999999999999,7,7.3389999999999995,19.29,18.59,52.132633,5.291265999999999
Sweden,8,7.364,10,7.291,9.85,9.28,60.12816100000001,18.643501
New Zealand,9,7.2860000000000005,8,7.334,9.38,8.65,-40.900557,174.885971
Australia,10,7.284,9,7.313,11.28,10.59,-25.274398,133.775136
Israel,11,7.278,11,7.267,22.84,21.32,31.046051,34.851612
Costa Rica,12,7.226,14,7.087000000000001,20.62,21.09,9.748916999999999,-83.753428
Austria,13,7.2,12,7.119,18.86,17.81,47.516231,14.550072
Mexico,14,7.187,21,6.778,45.13,44.74,23.634501,-102.552784
United States,15,7.119,13,7.104,19.95,18.81,37.09024,-95.712891
Brazil,16,6.983,17,6.952000000000001,31.52,30.35,-14.235004,-51.92528
Luxembourg,17,6.946000000000001,20,6.871,17.06,16.09,49.815273,6.129582999999999
Ireland,18,6.94,19,6.907,15.68,14.83,53.1423672,-7.692053599999999
Belgium,19,6.937,18,6.928999999999999,20.48,19.27,50.503887,4.469936
United Arab Emirates,20,6.901,28,6.5729999999999995,79.42,78.11,23.424076,53.847818
United Kingdom,21,6.867000000000001,23,6.725,18.24,17.89,55.378051,-3.435973
Venezuela,23,6.81,44,6.084,37.43,34.43,6.42375,-66.58973
Singapore,24,6.797999999999999,22,6.739,21.71,19.93,1.352083,103.819836
Panama,25,6.7860000000000005,25,6.7010000000000005,22.88,21.74,8.537981,-80.782127
Germany,26,6.75,16,6.994,20.48,20.1,51.165691,10.451526
Chile,27,6.67,24,6.705,24.84,24.02,-35.675147,-71.542969
Qatar,28,6.611000000000001,36,6.375,64.72,62.04,25.354826,51.183884
France,29,6.575,32,6.478,12.83,11.97,46.227638,2.213749
Argentina,30,6.574,26,6.65,33.09,31.84,-38.416097,-63.61667199999999
Czech Republic,31,6.505,27,6.596,32.42,30.79,49.81749199999999,15.472962
Uruguay,32,6.485,29,6.545,20.83,20.23,-32.522779,-55.765835
Colombia,33,6.477,31,6.481,23.24,22.42,4.570868,-74.297333
Thailand,34,6.455,33,6.474,33.33,33.06,15.870032,100.992541
Saudi Arabia,35,6.4110000000000005,34,6.379,69.35,65.16,23.885942,45.079162
Spain,36,6.329,37,6.361000000000001,15.98,14.78,40.46366700000001,-3.74922
Malta,37,6.3020000000000005,30,6.4879999999999995,23.5,23.36,35.937496,14.375416
Taiwan,38,6.297999999999999,34,6.379,33.33,32.8,23.69781,120.960515
