,Country,2015 Happiness Score,2016 Happiness Score,2015 Mean PM2.5 (ug/m3),2016 Mean PM2.5 (ug/m3),Latitude,Longitude,2015 Air Pollution Deaths Per 100k,2016 Air Pollution Deaths Per 100k
0,Switzerland,7.5870000000000015,7.508999999999999,10.60404505,10.51208667,46.818188,8.227511999999999,12.92,11.98
1,Iceland,7.561,7.501,7.3284277939999996,7.29839004,64.963051,-19.020835,10.74,9.92
2,Denmark,7.527,7.526,10.36485237,10.32874421,56.26392,9.501785,19.89,19.32
3,Norway,7.522,7.497999999999998,7.913173565,7.874067599,60.47202399999999,8.468945999999999,11.47,10.86
4,Canada,7.427,7.404,7.514347762000001,7.5252244820000005,56.130366,-106.346771,12.22,11.0
5,Finland,7.4060000000000015,7.4129999999999985,6.277478339,6.234267477,61.92410999999999,25.7481511,8.69,8.4
6,Netherlands,7.377999999999999,7.338999999999999,15.21098929,15.23005009,52.132633,5.291265999999999,19.29,18.59
7,Sweden,7.364,7.291,5.222487818,5.195282483,60.12816100000001,18.643501,9.85,9.28
8,New Zealand,7.286,7.334,5.533857524,5.525446595,-40.900557,174.885971,9.38,8.65
9,Australia,7.284,7.313,6.109837979,6.126806421,-25.274398,133.775136,11.28,10.59
10,Israel,7.278,7.267,18.76107386,18.6846113,31.046051,34.851612,22.84,21.32
11,Costa Rica,7.226,7.0870000000000015,18.54336032,18.53054595,9.748916999999999,-83.753428,20.62,21.09
12,Austria,7.2,7.119,15.03228858,14.96518831,47.516231,14.550072,18.86,17.81
13,Mexico,7.187,6.778,18.90809872,18.82910389,23.634501,-102.552784,45.13,44.74
14,United States,7.119,7.104,9.166296244,9.196934123,37.09024,-95.712891,19.95,18.81
15,Brazil,6.983,6.952000000000001,12.58115341,12.65285893,-14.235004,-51.92528,31.52,30.35
16,Luxembourg,6.9460000000000015,6.871,16.09981017,16.09727607,49.815273,6.129582999999999,17.06,16.09
17,Ireland,6.94,6.907,9.188586922999999,9.168633218,53.1423672,-7.692053599999999,15.68,14.83
18,Belgium,6.937,6.9289999999999985,16.01927717,16.04343237,50.503887,4.469936,20.48,19.27
19,United Arab Emirates,6.901,6.573,102.92623990000001,105.12373590000001,23.424076,53.847818,79.42,78.11
20,United Kingdom,6.867000000000001,6.725,11.54647834,11.52028708,55.378051,-3.435973,18.24,17.89
21,Venezuela,6.81,6.084,26.06650887,26.33118091,6.42375,-66.58973,37.43,34.43
22,Singapore,6.797999999999999,6.739,24.89237699,25.02850236,1.352083,103.819836,21.71,19.93
23,Panama,6.7860000000000005,6.7010000000000005,13.97661625,14.12599776,8.537981,-80.782127,22.88,21.74
24,Germany,6.75,6.994,13.47877046,13.45779609,51.165691,10.451526,20.48,20.1
25,Chile,6.67,6.705,21.94296815,21.9671149,-35.675147,-71.542969,24.84,24.02
26,Qatar,6.6110000000000015,6.375,147.5353404,148.24139830000001,25.354826,51.183884,64.72,62.04
27,France,6.575,6.478,11.89114342,11.8693378,46.227638,2.213749,12.83,11.97
28,Argentina,6.574,6.65,14.11720297,14.14816717,-38.416097,-63.61667199999999,33.09,31.84
29,Czech Republic,6.505,6.596,19.26133829,19.17869055,49.81749199999999,15.472962,32.42,30.79
30,Uruguay,6.485,6.545,11.54168106,11.52339849,-32.522779,-55.765835,20.83,20.23
31,Colombia,6.477,6.481,17.11017315,17.11938773,4.570868,-74.297333,23.24,22.42
32,Thailand,6.455,6.474,23.27653247,23.172589600000002,15.870032,100.992541,33.33,33.06
33,Saudi Arabia,6.4110000000000005,6.379,182.92145630000002,187.8713608,23.885942,45.079162,69.35,65.16
34,Spain,6.329,6.3610000000000015,9.956494034,9.960824015,40.46366700000001,-3.74922,15.98,14.78
35,Malta,6.3020000000000005,6.488,12.31965894,12.14084395,35.937496,14.375416,23.5,23.36
36,Kuwait,6.295,6.239,109.0799096,110.9572166,29.31166,47.481766,35.9,34.87
37,Suriname,6.269,6.269,21.71352073,21.53247349,3.919305,-56.027783,50.61,50.1
38,Trinidad and Tobago,6.167999999999998,6.167999999999998,16.60840812,16.81227296,10.691803,-61.222503,50.63,51.58
39,El Salvador,6.13,6.068,33.62477089,33.38600558,13.794185,-88.89653,48.85,47.01
40,Guatemala,6.122999999999998,6.324,28.70501653,28.522086199999997,15.783471,-90.23075899999999,66.89,66.82
41,Uzbekistan,6.002999999999999,5.987,46.21301018,46.691075700000006,41.377491,64.585262,111.07,105.81
42,Slovakia,5.995,6.0779999999999985,20.31906812,20.33090746,48.669026,19.699024,38.52,35.81
