Year,Country,Code,"Air pollution (total) (deaths per 100,000)","Indoor air pollution (deaths per 100,000)","Outdoor particulate matter (deaths per 100,000)","Outdoor ozone pollution (deaths per 100,000)"
2015,Afghanistan,AFG,191.801119,141.3542376,47.33453691,5.74608172
2016,Afghanistan,AFG,186.6689494,138.66354330000001,44.82619553,5.779466385
2015,Albania,ALB,42.29977276,19.16311568,21.78608861,1.806164979
2016,Albania,ALB,41.01878796,18.84658452,20.81066377,1.805548208
2015,Algeria,DZA,44.36252396,0.2676574,42.54781423,2.076489101
2016,Algeria,DZA,44.5390937,0.21812956600000002,42.80303697,2.058861025
2015,American Samoa,ASM,60.79599084,21.56846566,39.2264299,0.0013912360000000001
2016,American Samoa,ASM,59.26105942,20.97668624,38.28327931,0.0013838879999999998
2015,Andean Latin America,,34.60146143,11.97197448,22.00957326,0.817894813
2016,Andean Latin America,,33.50749881,11.24037342,21.65237142,0.804920458
2015,Andorra,AND,16.65214583,0.171687958,14.19962499,2.701087347
2016,Andorra,AND,15.6068274,0.17112361899999998,13.11733685,2.7101574310000003
2015,Angola,AGO,100.2394801,67.09831767,29.79255389,5.2168575630000005
2016,Angola,AGO,97.12452931,64.41206603,29.40473321,5.111732246
2015,Antigua and Barbuda,ATG,33.58601962,1.569812735,32.01027161,0.0074422659999999995
2016,Antigua and Barbuda,ATG,32.52075795,1.5260401559999999,30.98683682,0.009857965
2015,Argentina,ARG,33.08692385,2.576968029,29.15909422,1.635771629
2016,Argentina,ARG,31.83807343,2.411680608,28.00762058,1.701892004
2015,Armenia,ARM,67.15583172,12.68590792,51.6149863,3.930754718
2016,Armenia,ARM,64.86230501,12.45752053,49.57826401,3.850707677
2015,Australasia,,10.98730679,0.097830747,10.44889819,0.501267198
2016,Australasia,,10.29120486,0.092569789,9.715582083,0.543921167
2015,Australia,AUS,11.27679379,0.08863760300000001,10.70207175,0.554406842
2016,Australia,AUS,10.58643985,0.084401709,9.974549114,0.595577923
2015,Austria,AUT,18.85776732,0.28767060899999997,16.74104006,2.2063741880000003
2016,Austria,AUT,17.81297664,0.27999019399999997,15.72264884,2.166399592
2015,Azerbaijan,AZE,83.30039503,21.59639964,59.24061631,3.199150341
2016,Azerbaijan,AZE,80.71655579,20.99750771,57.23452928,3.19909172
2015,Bahamas,BHS,33.59640014,2.088066179,30.82305089,0.8569370959999999
2016,Bahamas,BHS,32.50757344,2.093738318,29.72467607,0.85527151
2015,Bahrain,BHR,65.48333615,0.33750895700000005,62.92676078,3.3304676439999996
2016,Bahrain,BHR,63.669394200000006,0.314426245,61.14446484,3.297326387
2015,Bangladesh,BGD,113.2967435,65.06294835,43.27029064,8.559829606000001
2016,Bangladesh,BGD,109.40404309999998,63.76166043,40.63233232,8.49812807
2015,Barbados,BRB,35.92143363,0.044727921,35.78020002,0.12438788199999999
2016,Barbados,BRB,35.18312349,0.043512297000000005,35.03706679,0.131438167
2015,Belarus,BLR,52.68628082,0.771706223,51.15296711,0.959568309
2016,Belarus,BLR,50.78554255,0.739755462,49.26701121,0.973638607
2015,Belgium,BEL,20.47646879,0.11444708099999999,18.35943959,2.4162103459999997
2016,Belgium,BEL,19.27290855,0.10905864900000001,17.19982434,2.355315931
2015,Belize,BLZ,45.92906629,12.91867719,31.90160704,1.4630033390000001
2016,Belize,BLZ,44.52587876,12.72231909,30.69540696,1.446960161
2015,Benin,BEN,119.2855887,94.75821376,23.0393575,2.664360173
2016,Benin,BEN,115.8053419,92.05337923,22.23829353,2.687136017
2015,Bermuda,BMU,18.4873708,1.512030948,16.00233748,1.167755683
2016,Bermuda,BMU,17.8010947,1.518314821,15.32762119,1.1384246279999999
2015,Bhutan,BTN,77.36572209999999,28.25155321,41.20092854,11.54580024
2016,Bhutan,BTN,74.54665333,26.79193997,39.83484547,11.41427785
2015,Bolivia,BOL,56.75662296,22.54706513,32.38749619,2.4230903919999998
2016,Bolivia,BOL,54.62555759,21.13459791,31.67899345,2.3846471890000003
2015,Bosnia and Herzegovina,BIH,60.87582209,23.27216393,35.69666184,2.656481738
2016,Bosnia and Herzegovina,BIH,58.97572422,22.97837797,34.09491768,2.629111617
2015,Botswana,BWA,75.07226869,39.2615359,32.79318633,4.2221485869999995
2016,Botswana,BWA,72.00154318,37.10624386,31.92987818,4.12387626
2015,Brazil,BRA,31.51608976,6.360042226,23.44514888,2.076375658
2016,Brazil,BRA,30.34957816,5.976036709,22.62249598,2.104409356
2015,Brunei,BRN,23.74965984,0.20520310600000002,22.53490584,1.1131591570000001
2016,Brunei,BRN,20.47862533,0.17419595300000001,19.26864067,1.127518123
2015,Bulgaria,BGR,53.66706844,10.84373198,40.9774357,2.3850422190000002
2016,Bulgaria,BGR,51.77971021,10.75662699,39.20204909,2.3341373
2015,Burkina Faso,BFA,137.9611017,114.63481909999999,22.51875199,1.554324515
2016,Burkina Faso,BFA,136.0010494,114.468046,20.709327399999996,1.574337394
2015,Burundi,BDI,146.9064303,122.83780520000002,21.99568271,3.893434793
2016,Burundi,BDI,144.3562899,120.3743298,21.91085057,3.885557298
2015,Cambodia,KHM,111.8931845,88.36757904,22.17830104,2.218175159
2016,Cambodia,KHM,109.4873364,86.66277271,21.428438699999997,2.276690972
2015,Cameroon,CMR,122.50888570000001,64.73491888,55.99154132,3.02925566
2016,Cameroon,CMR,118.32719509999998,61.30081098,55.23179031,3.016882264
2015,Canada,CAN,12.2179265,0.027057792999999997,10.60909688,1.7638948140000001
2016,Canada,CAN,11.00267478,0.025128589,9.397502531,1.7408336930000001
2015,Cape Verde,CPV,53.05591785,26.16793507,26.23478336,0.9703565340000001
2016,Cape Verde,CPV,51.26560132,26.06424617,24.51726005,0.9968349040000001
2015,Caribbean,,47.94433865,19.44222791,27.38768796,1.451046829
2016,Caribbean,,47.00157508,19.07371673,26.80364953,1.454174356
2015,Central African Republic,CAF,205.8482842,157.8087046,44.88587585,5.975791227999999
2016,Central African Republic,CAF,202.457674,155.4359691,43.86459284,5.955939308
2015,Central Asia,,82.39223572,23.52577278,56.50787694,3.1032337489999997
2016,Central Asia,,79.42307461,23.0299695,54.03290691,3.071204093
2015,Central Europe,,42.34817192,8.025514074,32.59710205,2.216932222
2016,Central Europe,,40.05099996,7.767619246000001,30.59954473,2.144537101
2015,"Central Europe, Eastern Europe, and Central Asia",,52.84763617,6.527661582,44.83088689,1.884938571
2016,"Central Europe, Eastern Europe, and Central Asia",,50.30429715,6.347537012999999,42.49186224,1.840322985
2015,Central Latin America,,39.31786985,10.96950813,26.19122371,2.795390924
2016,Central Latin America,,38.41413713,10.76899747,25.47252778,2.793033421
2015,Central Sub-Saharan Africa,,137.32402549999998,103.27322240000001,30.7719067,5.857978547999999
2016,Central Sub-Saharan Africa,,134.01586880000002,99.61844448,31.08388625,5.880378435
2015,Chad,TCD,163.48694799999998,129.48734380000002,32.23765525,3.518054003
2016,Chad,TCD,161.3824526,128.8788683,30.70370527,3.567396025
2015,Chile,CHL,24.84461527,3.0152422939999997,20.96583497,1.113486296
2016,Chile,CHL,24.02172263,3.017124172,20.10518109,1.1484527820000001
2015,China,CHN,78.25140892,18.12006266,52.65894616,11.31656996
2016,China,CHN,74.70570935,17.76558436,49.44868338,11.14419971
2015,Colombia,COL,23.23830958,5.1794113610000005,17.09148002,1.211516646
2016,Colombia,COL,22.41522077,4.798744204,16.63831582,1.216928907
2015,Comoros,COM,97.48803149,81.01889749,15.93779013,0.8547761
2016,Comoros,COM,95.45839929,78.97032255,15.95731533,0.8477318420000001
2015,Congo,COG,118.00178340000001,66.27073589,49.24761135,3.881511195
2016,Congo,COG,114.1980523,62.05608329,49.71577044,3.773362015
2015,Costa Rica,CRI,20.61926541,3.74121485,16.08741077,0.9920296000000001
2016,Costa Rica,CRI,21.09057696,3.8044334889999996,16.41772296,1.079662194
2015,Cote d'Ivoire,CIV,127.6053772,103.65395229999999,23.198923999999998,1.256370242
2016,Cote d'Ivoire,CIV,123.0245476,99.91100085,22.35516732,1.256311888
2015,Croatia,HRV,37.53962034,5.325944323,29.94664164,2.879622275
2016,Croatia,HRV,34.23502573,4.964761333999999,27.12795644,2.696853789
2015,Cuba,CUB,33.88404053,1.934678212,30.76479603,1.4914265619999998
2016,Cuba,CUB,32.94971454,1.8292168480000002,29.96734445,1.444571074
2015,Cyprus,CYP,27.6086077,0.200410229,25.01751325,2.9993392310000004
2016,Cyprus,CYP,25.96171468,0.20490589999999997,23.36870549,2.954873381
2015,Czech Republic,CZE,32.41577614,1.027927602,29.57759673,2.247697139
2016,Czech Republic,CZE,30.79152674,1.021157852,27.98094233,2.201952086
2015,Democratic Republic of Congo,COD,148.4421017,117.2770255,27.72047632,6.400915352999999
2016,Democratic Republic of Congo,COD,145.1997116,113.3915586,28.29788198,6.4759685870000006
2015,Denmark,DNK,19.89119418,0.11022028199999999,17.38160086,2.819238274
2016,Denmark,DNK,19.31916138,0.10954123800000001,16.78729836,2.8284532430000002
2015,Djibouti,DJI,83.49410649,35.26479576,46.8154501,2.085631423
2016,Djibouti,DJI,82.47695240000002,33.95336029999999,47.03830555,2.184712244
2015,Dominica,DMA,38.88421399,7.372724433999999,31.51147543,1.82812e-05
2016,Dominica,DMA,38.2345697,7.083231775,31.15131929,2.4444200000000002e-05
